mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.006855678558349609,0.00724641854138098,0.003123903274536133,0.006247806549072267,1.0,l1,"{'C': 1, 'penalty': 'l1'}",0.4859375,0.5039123630672926,0.5383411580594679,0.5023474178403756,0.4757433489827856,0.5012563575899843,0.021303089961224417,7
0.008483600616455079,0.0074104708465212565,0.0010038852691650391,0.0020077705383300783,1.0,l2,"{'C': 1, 'penalty': 'l2'}",0.4875,0.5039123630672926,0.5320813771517997,0.5023474178403756,0.47417840375586856,0.5000039123630673,0.01935477445647799,8
0.009462356567382812,0.007728898175808951,0.0,0.0,0.5,l1,"{'C': 0.5, 'penalty': 'l1'}",0.4921875,0.5101721439749609,0.5414710485133021,0.5023474178403756,0.48200312989045385,0.5056362480438185,0.020272724426134436,2
0.006336355209350586,0.005909441275216634,0.0,0.0,0.5,l2,"{'C': 0.5, 'penalty': 'l2'}",0.4875,0.5039123630672926,0.5320813771517997,0.5023474178403756,0.47417840375586856,0.5000039123630673,0.01935477445647799,8
0.0062504768371582035,0.007655239473822795,0.0031292915344238283,0.006258583068847657,0.1,l1,"{'C': 0.1, 'penalty': 'l1'}",0.5078125,0.5195618153364632,0.5336463223787168,0.5023474178403756,0.47730829420970267,0.5081352699530516,0.018789814162284982,1
0.0,0.0,0.005728912353515625,0.007064506461589976,0.1,l2,"{'C': 0.1, 'penalty': 'l2'}",0.4875,0.5039123630672926,0.5320813771517997,0.5023474178403756,0.47417840375586856,0.5000039123630673,0.01935477445647799,8
0.0068588733673095705,0.007251448844942253,0.0,0.0,0.01,l1,"{'C': 0.01, 'penalty': 'l1'}",0.5015625,0.5007824726134585,0.5023474178403756,0.5023474178403756,0.5023474178403756,0.501877445226917,0.0006262233295534773,5
0.003165721893310547,0.003877946404198066,0.0031291961669921873,0.006258392333984375,0.01,l2,"{'C': 0.01, 'penalty': 'l2'}",0.4875,0.5054773082942097,0.5352112676056338,0.5039123630672926,0.47730829420970267,0.5018818466353677,0.019690594887884296,4
0.006007003784179688,0.006366537467197282,0.0,0.0,0.001,l1,"{'C': 0.001, 'penalty': 'l1'}",0.5015625,0.5007824726134585,0.5023474178403756,0.5023474178403756,0.5023474178403756,0.501877445226917,0.0006262233295534773,5
0.002603912353515625,0.005207824707031249,0.0031280517578125,0.006256103515625,0.001,l2,"{'C': 0.001, 'penalty': 'l2'}",0.490625,0.514866979655712,0.5352112676056338,0.5023474178403756,0.47417840375586856,0.503445813771518,0.020792537679904542,3
