mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0015408515930175782,0.00037796612170119657,0.00043287277221679685,0.00010552629321086582,1.0,l1,"{'C': 1, 'penalty': 'l1'}",0.5203125,0.5086071987480438,0.5305164319248826,0.49921752738654146,0.4694835680751174,0.505627445226917,0.02093541652736516,1
0.0012367725372314452,0.0001711269908855958,0.00039215087890625,5.788092121787828e-05,1.0,l2,"{'C': 1, 'penalty': 'l2'}",0.5203125,0.5039123630672926,0.5305164319248826,0.49765258215962443,0.47104851330203446,0.5046884780907668,0.020459455891827114,5
0.0013875484466552735,0.00012986398909276085,0.00038399696350097654,2.790479405663871e-05,0.5,l1,"{'C': 0.5, 'penalty': 'l1'}",0.521875,0.5070422535211268,0.5305164319248826,0.49608763693270735,0.4694835680751174,0.5050009780907667,0.02135823901896633,3
0.0012198925018310548,0.0001379975798022839,0.0006259918212890625,0.0004319086534715942,0.5,l2,"{'C': 0.5, 'penalty': 'l2'}",0.5203125,0.5039123630672926,0.5305164319248826,0.49765258215962443,0.47104851330203446,0.5046884780907668,0.020459455891827114,5
0.0011473655700683593,2.3787723117788173e-05,0.00035176277160644533,1.1080283831758444e-05,0.1,l1,"{'C': 0.1, 'penalty': 'l1'}",0.5203125,0.49921752738654146,0.5320813771517997,0.5039123630672926,0.4694835680751174,0.5050014671361504,0.021278677187377904,2
0.0010522365570068359,2.7445116451954097e-05,0.00033841133117675783,7.0944652227009925e-06,0.1,l2,"{'C': 0.1, 'penalty': 'l2'}",0.5203125,0.5039123630672926,0.5305164319248826,0.49765258215962443,0.47104851330203446,0.5046884780907668,0.020459455891827114,5
0.0007569313049316407,8.988601772912074e-06,0.00032401084899902344,2.667732378139375e-06,0.01,l1,"{'C': 0.01, 'penalty': 'l1'}",0.5015625,0.5007824726134585,0.5023474178403756,0.5023474178403756,0.5023474178403756,0.501877445226917,0.0006262233295534773,9
0.0012033939361572265,0.00021126316438802546,0.00037994384765625,2.652929286694168e-05,0.01,l2,"{'C': 0.01, 'penalty': 'l2'}",0.51875,0.5039123630672926,0.5289514866979655,0.49608763693270735,0.4726134585289515,0.5040629890453834,0.01943114770359199,8
0.0008799076080322265,9.455148207705526e-05,0.00034060478210449217,9.512393383338845e-06,0.001,l1,"{'C': 0.001, 'penalty': 'l1'}",0.5015625,0.5007824726134585,0.5023474178403756,0.5023474178403756,0.5023474178403756,0.501877445226917,0.0006262233295534773,9
0.00111846923828125,8.907547851801888e-05,0.000377655029296875,1.7517520154924495e-05,0.001,l2,"{'C': 0.001, 'penalty': 'l2'}",0.5078125,0.5101721439749609,0.5320813771517997,0.49921752738654146,0.47417840375586856,0.5046923904538341,0.018713614746397537,4
